Date,PX_LAST
#NAME?,566.1917
2012-01-10,447.37048
2012-01-09,439.20121
2012-01-06,435.22372
2012-01-05,434.68816
2012-01-04,434.32345
2012-01-03,436.05939
2012-01-02,433.78395
2011-12-30,429.12423
2011-12-29,423.68552
2011-12-28,420.32663
2011-12-27,421.83242
2011-12-26,423.99074
2011-12-23,425.85417
2011-12-22,422.57598
2011-12-21,416.62283
2011-12-20,417.2478
2011-12-19,409.01268
2011-12-16,415.11559
2011-12-15,413.84617
2011-12-14,413.38187
2011-12-13,422.17702
2011-12-12,422.88404
2011-12-09,427.12401
2011-12-08,425.19208
2011-12-07,432.18668
2011-12-06,429.12234
2011-12-05,434.32538
2011-12-02,433.14448
2011-12-01,433.65531
2011-11-30,431.93151
2011-11-29,415.20203
2011-11-28,416.00105
2011-11-25,405.02084
2011-11-24,407.32069
2011-11-23,405.89659
2011-11-22,408.66151
2011-11-21,408.22796
2011-11-18,420.03752
2011-11-17,425.23679
2011-11-16,427.37029
2011-11-15,428.78764
2011-11-14,432.81675
2011-11-11,434.55754
2011-11-10,426.34533
2011-11-09,432.79199
2011-11-08,438.86141
2011-11-07,443.51728
2011-11-04,440.15521
2011-11-03,435.55152
2011-11-02,438.20514
2011-11-01,432.60282
2011-10-31,446.20773
2011-10-28,467.89535
2011-10-27,464.55831
2011-10-26,443.97527
2011-10-25,436.92786
2011-10-24,447.64349
2011-10-21,432.47142
2011-10-20,436.73315
2011-10-19,435.10692
2011-10-18,444.13443
2011-10-17,437.96856
2011-10-14,450.84301
2011-10-13,448.40764
2011-10-12,445.59619
2011-10-11,441.45055
2011-10-10,446.53444
2011-10-07,443.43197
2011-10-06,458.63915
2011-10-05,436.88145
2011-10-04,424.11594
2011-10-03,419.34725
2011-09-30,439.73284
2011-09-29,449.05697
2011-09-28,449.12739
2011-09-27,465.71992
2011-09-26,457.50442
2011-09-23,455.7078
2011-09-22,448.07666
2011-09-21,468.48519
2011-09-20,483.89727
2011-09-19,499.08198
2011-09-16,513.25585
2011-09-15,519.5472
2011-09-14,526.53318
2011-09-13,518.17257
2011-09-12,518.05019
2011-09-09,525.58572
2011-09-08,545.10271
2011-09-07,550.17992
2011-09-06,540.14355
2011-09-05,550.25632
2011-09-02,557.62353
2011-09-01,577.1966
2011-08-31,584.76613
2011-08-30,580.43659
2011-08-29,579.22847
2011-08-26,559.1095
2011-08-25,551.8778
2011-08-24,557.03254
2011-08-23,548.05692
2011-08-22,528.88059
2011-08-19,529.84278
2011-08-18,549.19134
2011-08-17,579.90387
2011-08-16,579.67046
2011-08-15,585.54254
2011-08-12,571.74211
2011-08-11,570.8377
2011-08-10,544.27639
2011-08-09,555.84852
